	code	company	old_price	new_price	returns
240	284620	카이노스메드	2100	4225	101.19047619047619
241	093240	형지엘리트	1475	2965	101.01694915254238
242	004720	우리들제약	6370	12800	100.9419152276295
243	005290	동진쎄미켐	16750	33650	100.8955223880597
244	101140	인바이오젠	2985	5990	100.67001675041878
245	066790	씨씨에스	423	846	100.0
246	038880	아이에이	510	1020	100.0
247	023450	동남합성	24850	49700	100.0
248	217820	엔에스	5050	10050	99.00990099009901
249	258830	세종메디칼	7520	14950	98.8031914893617
250	317400	자이에스앤디	5710	11350	98.77408056042032
251	067010	이씨에스	4610	9130	98.04772234273318
252	004920	씨아이테크	458	906	97.81659388646288
253	006110	삼아알미늄	4430	8730	97.06546275395034
254	001070	대한방직	20150	39700	97.02233250620347
255	002840	미원상사	57000	112000	96.49122807017542
256	101160	월덱스	8280	16250	96.256038647343
257	200130	콜마비앤에이치	27750	54400	96.03603603603604
258	041190	우리기술투자	2520	4935	95.83333333333333
259	082740	HSD엔진	4470	8750	95.74944071588367
260	061250	화일약품	6540	12800	95.71865443425077
261	077500	유니퀘스트	6670	13050	95.65217391304348
262	011150	CJ씨푸드	2695	5260	95.17625231910947
263	000950	전방	15350	29900	94.78827361563518
264	271980	제일약품	36200	70500	94.75138121546962
265	216050	인크로스	25150	48900	94.43339960238568
266	185750	종근당	97000	188500	94.3298969072165
267	114570	지스마트글로벌	321	620	93.14641744548287
268	212310	휴벡셀	2595	4990	92.29287090558766
269	084370	유진테크	16500	31700	92.12121212121211
270	008930	한미사이언스	38350	73600	91.91655801825294
271	006650	대한유화	117500	225500	91.91489361702128
272	267320	나인테크	2040	3915	91.91176470588236
273	263690	디알젬	8340	16000	91.84652278177458
274	093230	이아이디	224	429	91.51785714285714
275	005420	코스모화학	6120	11700	91.1764705882353
276	068270	셀트리온	181000	345500	90.8839779005525
277	011080	형지I&C	600	1140	89.99999999999999
278	163430	디피코	2370	4500	89.87341772151898
279	058400	KNN	1215	2305	89.71193415637859
280	023790	동일철강	3200	6070	89.68750000000001
281	083310	엘오티베큠	9530	18050	89.401888772298
282	052400	코나아이	14600	27650	89.3835616438356
283	011500	한농화성	4255	8050	89.1891891891892
284	043260	성호전자	823	1555	88.94289185905224
285	089970	에이피티씨	7540	14200	88.32891246684352
286	073490	이노와이어리스	33200	62500	88.25301204819279
287	058470	리노공업	64300	120900	88.0248833592535
288	194480	데브시스터즈	7290	13700	87.92866941015089
289	046210	파나진	2345	4405	87.84648187633262
290	144620	코오롱머티리얼	1640	3070	87.19512195121952
291	014130	한익스프레스	4410	8250	87.0748299319728
292	192650	드림텍	6770	12650	86.85376661742983
293	094860	코닉글로리	1330	2485	86.8421052631579
294	234070	에이원알폼	9420	17600	86.83651804670913
295	000250	삼천당제약	35600	66400	86.51685393258425
296	211050	인카금융서비스	5900	11000	86.44067796610169
297	314130	지놈앤컴퍼니	39300	73100	86.00508905852418
298	131390	피앤이솔루션	10850	20150	85.71428571428572
299	038460	바이오스마트	4340	8050	85.48387096774192
