	code	company	old_price	new_price	returns
0	064520	바른전자	1005	20900	1979.6019900497513
1	224760	엔에스컴퍼니	5160	91500	1673.2558139534883
2	221610	자안	404	6770	1575.7425742574255
3	002070	비비안	1030	15800	1433.9805825242718
4	160600	이큐셀	310	2805	804.8387096774194
5	038160	팍스넷	862	7750	799.0719257540602
6	043290	케이맥	1390	12050	766.9064748201439
7	050540	한국코퍼레이션	282	2345	731.5602836879433
8	052190	이에스에이	295	2400	713.5593220338983
9	266170	뿌리깊은나무들	717	5800	708.9260808926081
